Annual Return (%),Annual Volatility (%),Sharpe Ratio
23.2009,19.6764,0.925
19.3678,18.8591,0.7619
19.7425,17.9489,0.8214
16.7717,14.811,0.7948
21.1426,19.1629,0.8424
18.0608,18.0182,0.7249
24.353,18.8052,1.0291
16.2067,16.123,0.6951
18.8979,17.4424,0.7968
18.7959,17.3907,0.7933
22.4141,18.7345,0.9295
15.7957,14.3252,0.7536
22.4917,21.1817,0.8258
22.1262,16.1156,1.0627
22.0636,18.7211,0.9115
22.4373,17.024,1.0243
18.0991,18.1532,0.7216
17.0214,14.8721,0.8083
19.6276,16.7279,0.8744
20.5378,17.2877,0.8988
27.7242,20.5918,1.1036
20.7161,16.6854,0.9419
17.6374,16.3191,0.7744
14.8658,16.598,0.5944
20.413,18.7587,0.8216
19.3396,17.8669,0.8026
19.635,18.5435,0.7892
19.4711,16.8014,0.8613
21.2369,17.0814,0.9506
15.2869,15.1271,0.68
16.2332,15.4798,0.7257
18.8056,16.0432,0.8605
18.4854,16.9704,0.7946
21.6762,21.7227,0.7677
15.7374,15.6436,0.6864
19.0029,18.3439,0.7634
21.4672,18.5252,0.8889
14.5742,15.1333,0.6327
16.6978,15.0853,0.7754
18.3018,16.5753,0.8025
13.7526,16.5355,0.5293
17.4233,15.8132,0.7856
23.6212,22.9222,0.8124
21.2599,21.402,0.7597
18.5734,18.6262,0.7287
23.0405,21.7892,0.828
22.6118,17.1724,1.0256
19.076,18.0481,0.7799
17.3673,15.8714,0.7792
14.9174,14.4977,0.6841
20.7268,16.5735,0.9489
22.0091,18.3245,0.9282
19.1524,15.6007,0.9072
15.5763,16.7345,0.632
22.0464,18.0221,0.9459
15.3023,14.9086,0.691
17.7805,16.4972,0.7747
21.5854,19.2886,0.8599
16.5633,18.1586,0.6368
15.3456,16.1593,0.6402
19.8692,16.785,0.8859
15.607,15.0739,0.7037
24.3561,18.9188,1.0231
17.8072,18.5301,0.6912
20.0726,17.8845,0.8428
19.3707,15.7905,0.9101
